name,lat,lon,plt_id,max_age,pygp_pts,pygp_feature
830086fffffffff,76.03210687406681,74.79291862374959,417,420.0,"(0.0633155, 0.232926, 0.970431)",<pygplates.pygplates.Feature object at 0x7f0ef561e120>
830088fffffffff,79.89017588170799,80.67660624785564,417,420.0,"(0.0284379, 0.173217, 0.984473)",<pygplates.pygplates.Feature object at 0x7f0ef561e190>
830089fffffffff,81.02456790441812,81.55351199242638,417,420.0,"(0.0229158, 0.154319, 0.987755)",<pygplates.pygplates.Feature object at 0x7f0ef561e200>
83008afffffffff,79.1492856584131,85.41995480352716,417,490.0,"(0.0150322, 0.18765, 0.982121)",<pygplates.pygplates.Feature object at 0x7f0ef561e270>
83008bfffffffff,80.26902351781021,86.78651655936565,417,420.0,"(0.00947479, 0.168756, 0.985612)",<pygplates.pygplates.Feature object at 0x7f0ef561e2e0>
83008cfffffffff,79.4124594640472,75.11155366684227,417,420.0,"(0.0472092, 0.177569, 0.982975)",<pygplates.pygplates.Feature object at 0x7f0ef561e350>
83008dfffffffff,80.54925894393187,75.26917079211802,417,420.0,"(0.0417524, 0.158803, 0.986427)",<pygplates.pygplates.Feature object at 0x7f0ef561e3c0>
83008efffffffff,78.75801646275113,79.97739639873183,417,420.0,"(0.033929, 0.191978, 0.980813)",<pygplates.pygplates.Feature object at 0x7f0ef561e430>
830090fffffffff,74.68609201088572,81.96497376834732,417,490.0,"(0.0369165, 0.261514, 0.964493)",<pygplates.pygplates.Feature object at 0x7f0ef561e4a0>
830091fffffffff,75.79598132523924,82.62210889632591,417,490.0,"(0.0315094, 0.243344, 0.969428)",<pygplates.pygplates.Feature object at 0x7f0ef561e510>
830092fffffffff,73.93370415556515,85.10450758912673,401,1100.0,"(0.0236174, 0.27574, 0.960942)",<pygplates.pygplates.Feature object at 0x7f0ef561e580>
830093fffffffff,75.0319524050964,85.96800189785449,417,490.0,"(0.0181606, 0.257641, 0.96607)",<pygplates.pygplates.Feature object at 0x7f0ef561e5f0>
830094fffffffff,74.27694760491919,78.19032813931271,435,300.0,"(0.0554607, 0.265252, 0.962583)",<pygplates.pygplates.Feature object at 0x7f0ef561e660>
830095fffffffff,75.3879361863981,78.53267480980129,417,420.0,"(0.0501542, 0.247237, 0.967656)",<pygplates.pygplates.Feature object at 0x7f0ef561e6d0>
830096fffffffff,73.58238921064081,81.39850142724521,401,1100.0,"(0.0422714, 0.279457, 0.959227)",<pygplates.pygplates.Feature object at 0x7f0ef561e740>
830098fffffffff,77.237577560396,88.15278304070094,417,490.0,"(0.00712087, 0.220794, 0.975294)",<pygplates.pygplates.Feature object at 0x7f0ef561e7b0>
830099fffffffff,78.34081438609951,89.56052162597739,417,490.0,"(0.00155008, 0.202084, 0.979367)",<pygplates.pygplates.Feature object at 0x7f0ef561e820>
83009afffffffff,76.39349766903057,91.55318964705343,417,490.0,"(-0.00637651, 0.235166, 0.971934)",<pygplates.pygplates.Feature object at 0x7f0ef561e890>
83009bfffffffff,77.47689533966351,93.1705576906945,417,490.0,"(-0.0119927, 0.216501, 0.976209)",<pygplates.pygplates.Feature object at 0x7f0ef561e900>
83009cfffffffff,76.91081893143021,83.39334250159806,417,490.0,"(0.0260557, 0.224964, 0.974019)",<pygplates.pygplates.Feature object at 0x7f0ef561e970>
83009dfffffffff,78.02916349681054,84.31084688605245,417,490.0,"(0.0205612, 0.206392, 0.978253)",<pygplates.pygplates.Feature object at 0x7f0ef561e9e0>
83009efffffffff,76.13386212450874,86.97192962631456,417,490.0,"(0.0126598, 0.23932, 0.970858)",<pygplates.pygplates.Feature object at 0x7f0ef561ea50>
8300a0fffffffff,76.45633432807469,62.71632217738094,373,490.0,"(0.10735, 0.208133, 0.972192)",<pygplates.pygplates.Feature object at 0x7f0ef561eac0>
8300a1fffffffff,77.5429806017376,61.719558048347814,350,550.0,"(0.102199, 0.18996, 0.976458)",<pygplates.pygplates.Feature object at 0x7f0ef561eb30>
8300a2fffffffff,76.01432946915772,66.97316166673725,373,490.0,"(0.0945358, 0.222423, 0.970356)",<pygplates.pygplates.Feature object at 0x7f0ef561eba0>
8300a3fffffffff,77.11718311561022,66.37452048135243,373,490.0,"(0.0893518, 0.20427, 0.974828)",<pygplates.pygplates.Feature object at 0x7f0ef561ec10>
8300a4fffffffff,75.7563932570727,59.44324596448471,373,490.0,"(0.125087, 0.211876, 0.969258)",<pygplates.pygplates.Feature object at 0x7f0ef561ec80>
8300a5fffffffff,76.81960062168956,58.234826083283714,350,550.0,"(0.120037, 0.193864, 0.973657)",<pygplates.pygplates.Feature object at 0x7f0ef561ecf0>
8300a6fffffffff,75.37253687546354,63.56286847145107,373,490.0,"(0.112432, 0.226124, 0.967588)",<pygplates.pygplates.Feature object at 0x7f0ef561ed60>
8300a8fffffffff,79.33460040070024,64.79904272617507,350,550.0,"(0.0788031, 0.167458, 0.982725)",<pygplates.pygplates.Feature object at 0x7f0ef561edd0>
8300a9fffffffff,80.44622399693037,63.73411647852461,350,550.0,"(0.0734493, 0.148837, 0.98613)",<pygplates.pygplates.Feature object at 0x7f0ef561ee40>
8300aafffffffff,78.85209351273298,70.11234330893096,417,420.0,"(0.0657706, 0.181812, 0.981131)",<pygplates.pygplates.Feature object at 0x7f0ef561eeb0>
8300abfffffffff,79.97964433811028,69.69259050985244,417,420.0,"(0.0603872, 0.163183, 0.984746)",<pygplates.pygplates.Feature object at 0x7f0ef561ef20>
8300acfffffffff,78.63067929132123,60.52950144845629,350,550.0,"(0.0969843, 0.171625, 0.980377)",<pygplates.pygplates.Feature object at 0x7f0ef561ef90>
8300adfffffffff,79.71718115736259,59.085294389744476,350,550.0,"(0.0917101, 0.153147, 0.983939)",<pygplates.pygplates.Feature object at 0x7f0ef561d040>
8300aefffffffff,78.22438513712233,65.66174153627767,350,550.0,"(0.0841058, 0.185943, 0.978954)",<pygplates.pygplates.Feature object at 0x7f0ef561d0b0>
8300b0fffffffff,74.39489728113479,71.18375052914622,435,300.0,"(0.0867635, 0.254629, 0.963139)",<pygplates.pygplates.Feature object at 0x7f0ef561d120>
8300b1fffffffff,75.49945941299148,70.97861810662512,435,300.0,"(0.0816071, 0.236717, 0.968145)",<pygplates.pygplates.Feature object at 0x7f0ef561d190>
8300b2fffffffff,73.81188946837123,74.65495728544445,435,300.0,"(0.073777, 0.268853, 0.960352)",<pygplates.pygplates.Feature object at 0x7f0ef561d200>
8300b3fffffffff,74.91813547575924,74.71873712260677,435,300.0,"(0.0685774, 0.250999, 0.965555)",<pygplates.pygplates.Feature object at 0x7f0ef561d270>
8300b4fffffffff,73.82614552561954,67.92221883418716,435,300.0,"(0.104698, 0.258128, 0.960421)",<pygplates.pygplates.Feature object at 0x7f0ef561d2e0>
8300b5fffffffff,74.91697677590433,67.48294370640568,435,300.0,"(0.0996528, 0.240381, 0.96555)",<pygplates.pygplates.Feature object at 0x7f0ef561d350>
8300b6fffffffff,73.29818103887862,71.3611760461241,435,300.0,"(0.0918506, 0.272318, 0.957813)",<pygplates.pygplates.Feature object at 0x7f0ef561d3c0>
